-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 02/01/2020 through 05/31/2020 
Location: Latitude  39.7855   Longitude 116.4851 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 125.43 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_RANGE,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
39.78551,116.48511,2020,032,    9.21,  -10.82,   -9.88,    4.25,   -4.96,   -0.72
39.78551,116.48511,2020,033,    9.61,   -7.57,   -7.53,    4.53,   -5.08,   -0.96
39.78551,116.48511,2020,034,   11.39,  -13.86,  -12.32,    3.32,   -8.07,   -3.25
39.78551,116.48511,2020,035,   10.27,  -15.80,  -13.72,    2.04,   -8.23,   -3.95
39.78551,116.48511,2020,036,    9.32,  -15.14,  -13.56,   -2.27,  -11.58,   -6.83
39.78551,116.48511,2020,037,    6.69,   -9.58,   -9.04,   -1.92,   -8.61,   -5.87
39.78551,116.48511,2020,038,   15.58,   -9.07,   -8.53,    5.83,   -9.75,   -3.09
39.78551,116.48511,2020,039,   15.16,  -10.15,   -9.35,    7.80,   -7.36,   -0.76
39.78551,116.48511,2020,040,   15.61,   -6.97,   -6.55,   12.13,   -3.47,    2.09
39.78551,116.48511,2020,041,   14.13,   -4.91,   -4.70,   12.26,   -1.87,    3.54
39.78551,116.48511,2020,042,   12.97,   -1.25,   -1.30,   10.44,   -2.53,    2.59
39.78551,116.48511,2020,043,   13.17,    0.15,    0.10,   11.37,   -1.79,    3.56
39.78551,116.48511,2020,044,   12.47,    1.24,    1.20,   11.46,   -1.01,    3.66
39.78551,116.48511,2020,045,    9.03,   -4.29,   -4.47,    2.65,   -6.38,   -1.92
39.78551,116.48511,2020,046,    8.79,  -13.23,  -12.02,   -1.71,  -10.50,   -6.14
39.78551,116.48511,2020,047,   10.83,  -11.96,  -11.05,    1.37,   -9.46,   -4.59
39.78551,116.48511,2020,048,   15.03,   -9.04,   -8.76,    5.77,   -9.26,   -2.05
39.78551,116.48511,2020,049,   14.55,   -7.31,   -6.94,    9.75,   -4.80,    1.15
39.78551,116.48511,2020,050,   10.61,   -3.83,   -3.79,    7.42,   -3.19,    0.82
39.78551,116.48511,2020,051,    8.01,   -2.61,   -2.62,    5.25,   -2.76,    1.09
39.78551,116.48511,2020,052,   11.39,   -6.74,   -6.60,    9.34,   -2.05,    2.17
39.78551,116.48511,2020,053,   12.56,  -11.40,  -10.14,    8.78,   -3.77,    1.43
39.78551,116.48511,2020,054,   14.50,   -6.00,   -5.81,   11.69,   -2.81,    2.63
39.78551,116.48511,2020,055,   10.78,   -3.11,   -3.08,    9.60,   -1.18,    3.36
39.78551,116.48511,2020,056,   11.83,   -3.84,   -3.66,   10.80,   -1.03,    3.87
39.78551,116.48511,2020,057,   10.81,   -4.91,   -4.71,    8.64,   -2.17,    2.10
39.78551,116.48511,2020,058,    7.98,   -5.26,   -5.03,    6.27,   -1.71,    1.34
39.78551,116.48511,2020,059,   14.22,   -1.13,   -1.16,   11.05,   -3.17,    2.30
39.78551,116.48511,2020,060,    6.45,   -0.31,   -0.28,    4.80,   -1.65,    1.16
39.78551,116.48511,2020,061,   11.69,   -6.20,   -6.19,    9.40,   -2.29,    2.51
39.78551,116.48511,2020,062,   12.97,   -6.23,   -6.13,    9.93,   -3.03,    2.66
39.78551,116.48511,2020,063,   11.86,  -10.51,   -9.67,    7.69,   -4.17,    0.94
39.78551,116.48511,2020,064,   11.88,  -13.19,  -11.61,    6.34,   -5.54,   -0.90
39.78551,116.48511,2020,065,   13.83,   -8.15,   -7.65,    9.53,   -4.30,    1.44
39.78551,116.48511,2020,066,   12.89,   -0.46,   -0.61,   10.51,   -2.39,    3.29
39.78551,116.48511,2020,067,   15.61,   -3.20,   -3.14,   14.87,   -0.74,    5.76
39.78551,116.48511,2020,068,   10.79,    1.14,    1.09,    9.98,   -0.81,    3.77
39.78551,116.48511,2020,069,   11.11,    0.28,    0.19,   11.20,    0.09,    5.38
39.78551,116.48511,2020,070,   14.37,  -10.78,   -9.66,   11.43,   -2.94,    4.03
39.78551,116.48511,2020,071,   18.74,   -6.64,   -6.28,   16.89,   -1.86,    6.20
39.78551,116.48511,2020,072,   13.44,   -5.20,   -4.94,   12.83,   -0.61,    5.72
39.78551,116.48511,2020,073,   14.51,  -11.62,  -10.29,   11.91,   -2.59,    3.73
39.78551,116.48511,2020,074,   16.74,   -8.17,   -7.40,   15.27,   -1.47,    6.36
39.78551,116.48511,2020,075,   17.09,   -3.67,   -3.42,   17.93,    0.83,    8.20
39.78551,116.48511,2020,076,   20.74,   -2.65,   -2.53,   18.66,   -2.08,    6.84
39.78551,116.48511,2020,077,   21.66,   -3.22,   -3.04,   22.78,    1.11,   11.48
39.78551,116.48511,2020,078,   23.20,   -5.35,   -5.06,   26.40,    3.20,   12.45
39.78551,116.48511,2020,079,   16.23,   -9.79,   -8.86,   17.55,    1.32,    8.46
39.78551,116.48511,2020,080,   22.87,   -3.10,   -2.84,   24.30,    1.44,   11.09
39.78551,116.48511,2020,081,   16.46,   -0.94,   -0.85,   19.59,    3.13,    9.99
39.78551,116.48511,2020,082,   20.73,   -3.31,   -3.09,   22.69,    1.96,   11.80
39.78551,116.48511,2020,083,   17.76,   -3.26,   -3.02,   21.97,    4.22,   11.96
39.78551,116.48511,2020,084,   13.33,    1.91,    1.61,   17.80,    4.47,   10.69
39.78551,116.48511,2020,085,   14.20,    6.77,    6.65,   22.72,    8.52,   15.17
39.78551,116.48511,2020,086,    9.02,   -3.31,   -3.79,   11.36,    2.33,    7.15
39.78551,116.48511,2020,087,   16.34,  -11.99,  -10.51,   13.03,   -3.31,    4.48
39.78551,116.48511,2020,088,   18.74,  -11.46,  -10.20,   14.83,   -3.91,    5.34
39.78551,116.48511,2020,089,   15.82,   -4.70,   -4.46,   16.69,    0.87,    8.42
39.78551,116.48511,2020,090,   16.19,    0.65,    0.68,   19.12,    2.93,   10.64
39.78551,116.48511,2020,091,   16.18,    2.64,    2.56,   20.05,    3.87,   11.71
39.78551,116.48511,2020,092,   13.29,   -8.13,   -7.49,   16.24,    2.95,    9.37
39.78551,116.48511,2020,093,   18.87,   -7.05,   -6.73,   20.56,    1.70,   10.82
39.78551,116.48511,2020,094,   20.31,   -4.23,   -3.98,   24.59,    4.28,   13.97
39.78551,116.48511,2020,095,   14.35,   -6.82,   -6.29,   17.88,    3.52,   10.18
39.78551,116.48511,2020,096,   18.67,   -1.94,   -1.92,   19.48,    0.81,    9.96
39.78551,116.48511,2020,097,   16.55,    3.28,    3.13,   24.57,    8.02,   15.07
39.78551,116.48511,2020,098,   12.97,   -2.99,   -3.05,   18.49,    5.52,   11.26
39.78551,116.48511,2020,099,   15.14,   -2.17,   -2.15,   17.55,    2.41,    9.70
