date,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,School closures,Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Public information campaigns (OxBSG),Stay at home requirements (OxBSG),Close public transport (OxBSG),Restrictions on internal movement (OxBSG),International travel controls (OxBSG),Testing policy (OxBSG),Contact tracing (OxBSG),"Government Response Stringency Index ((0 to 100, 100 = strictest))"
01-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
02-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
03-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
04-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
05-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
06-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
07-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
08-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
09-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
10-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
11-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
12-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
13-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
14-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
15-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
16-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
17-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
18-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
19-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
20-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
21-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
22-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
23-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
24-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
25-02-20,Brazil,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
26-02-20,Brazil,AMRO,1,1,0,0,1,1,0,0,0.005,0.005,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
27-02-20,Brazil,AMRO,0,1,0,0,1,0,0,0,0.005,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
28-02-20,Brazil,AMRO,0,1,0,0,1,0,0,0,0.005,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
29-02-20,Brazil,AMRO,0,1,0,0,1,0,0,0,0.005,0,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
01-03-20,Brazil,AMRO,1,2,0,0,2,1,0,0,0.009,0.005,0,0,,,,,,,,5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,0,0,0,0,1,0,0,0,0,1,0,5.56
