date,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,School closures,Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Public information campaigns (OxBSG),Stay at home requirements (OxBSG),Close public transport (OxBSG),Restrictions on internal movement (OxBSG),International travel controls (OxBSG),Testing policy (OxBSG),Contact tracing (OxBSG),"Government Response Stringency Index ((0 to 100, 100 = strictest))"
01-02-20,Canada,AMRO,0,4,0,0,4,1,0,0,0.106,0.026,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
02-02-20,Canada,AMRO,0,4,0,0,4,0,0,0,0.106,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
03-02-20,Canada,AMRO,0,4,0,0,4,0,0,0,0.106,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
04-02-20,Canada,AMRO,0,4,0,0,4,0,0,0,0.106,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
05-02-20,Canada,AMRO,1,5,0,0,5,1,0,0,0.132,0.026,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
06-02-20,Canada,AMRO,0,5,0,0,5,0,0,0,0.132,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
07-02-20,Canada,AMRO,2,7,0,0,7,2,0,0,0.185,0.053,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
08-02-20,Canada,AMRO,0,7,0,0,7,0,0,0,0.185,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
09-02-20,Canada,AMRO,0,7,0,0,7,0,0,0,0.185,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
10-02-20,Canada,AMRO,0,7,0,0,7,0,0,0,0.185,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
11-02-20,Canada,AMRO,0,7,0,0,7,0,0,0,0.185,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
12-02-20,Canada,AMRO,0,7,0,0,7,0,0,0,0.185,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
13-02-20,Canada,AMRO,0,7,0,0,7,0,0,0,0.185,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
14-02-20,Canada,AMRO,0,7,0,0,7,0,0,0,0.185,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
15-02-20,Canada,AMRO,0,7,0,0,8,1,0,0,0.212,0.026,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
16-02-20,Canada,AMRO,0,7,0,0,8,0,0,0,0.212,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
17-02-20,Canada,AMRO,1,8,0,0,8,0,0,0,0.212,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
18-02-20,Canada,AMRO,0,8,0,0,8,0,0,0,0.212,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
19-02-20,Canada,AMRO,0,8,0,0,8,0,0,0,0.212,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
20-02-20,Canada,AMRO,0,8,0,0,8,0,0,0,0.212,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
21-02-20,Canada,AMRO,0,8,0,0,9,1,0,0,0.238,0.026,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
22-02-20,Canada,AMRO,1,9,0,0,9,0,0,0,0.238,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
23-02-20,Canada,AMRO,0,9,0,0,9,0,0,0,0.238,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
24-02-20,Canada,AMRO,1,10,0,0,9,0,0,0,0.238,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
25-02-20,Canada,AMRO,0,10,0,0,11,2,0,0,0.291,0.053,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
26-02-20,Canada,AMRO,1,11,0,0,11,0,0,0,0.291,0,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
27-02-20,Canada,AMRO,0,11,0,0,12,1,0,0,0.318,0.026,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
28-02-20,Canada,AMRO,3,14,0,0,14,2,0,0,0.371,0.053,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
29-02-20,Canada,AMRO,0,14,0,0,16,2,0,0,0.424,0.053,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
01-03-20,Canada,AMRO,5,19,0,0,20,4,0,0,0.53,0.106,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
02-03-20,Canada,AMRO,8,27,0,0,24,4,0,0,0.636,0.106,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
03-03-20,Canada,AMRO,3,30,0,0,27,3,0,0,0.715,0.079,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
04-03-20,Canada,AMRO,0,30,0,0,30,3,0,0,0.795,0.079,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
05-03-20,Canada,AMRO,15,45,0,0,33,3,0,0,0.874,0.079,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
06-03-20,Canada,AMRO,4,49,0,0,45,12,0,0,1.192,0.318,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
07-03-20,Canada,AMRO,8,57,0,0,51,6,0,0,1.351,0.159,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
08-03-20,Canada,AMRO,3,60,0,0,57,6,0,0,1.51,0.159,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,1,1,2.78
09-03-20,Canada,AMRO,12,72,0,0,62,5,0,0,1.643,0.132,0,0,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,2,1,2.78
10-03-20,Canada,AMRO,5,77,0,0,77,15,1,1,2.04,0.397,0.026,0.026,,,,,,,,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,0,0,0,0,1,2,1,2.78
11-03-20,Canada,AMRO,16,93,1,1,93,16,1,0,2.464,0.424,0.026,0,,,,,,,,13.89,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,0,0,2,0,0,0,1,2,1,13.89
12-03-20,Canada,AMRO,0,93,0,1,103,10,1,0,2.729,0.265,0.026,0,,,,,,,,22.22,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,0,0,2,0,2,0,0,0,1,2,1,22.22
