date,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,School closures,Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Public information campaigns (OxBSG),Stay at home requirements (OxBSG),Close public transport (OxBSG),Restrictions on internal movement (OxBSG),International travel controls (OxBSG),Testing policy (OxBSG),Contact tracing (OxBSG),"Government Response Stringency Index ((0 to 100, 100 = strictest))"
01-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,,,samples tested,5.56,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,0,0,0,5.56
02-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,,,samples tested,5.56,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,0,0,0,5.56
03-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,,,samples tested,5.56,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,0,0,0,5.56
04-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,,,samples tested,5.56,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,0,0,0,5.56
05-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,,,samples tested,5.56,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,0,0,0,5.56
06-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
07-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
08-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
09-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
10-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
11-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
12-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
13-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
14-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
15-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
16-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
17-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
18-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
19-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
20-02-20,Finland,EURO,0,1,0,0,1,0,0,0,0.18,0,0,0,,,,,0,0,samples tested,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,0,0,0,0,1,0,0,0,3,0,0,13.89
