date,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,School closures,Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Public information campaigns (OxBSG),Stay at home requirements (OxBSG),Close public transport (OxBSG),Restrictions on internal movement (OxBSG),International travel controls (OxBSG),Testing policy (OxBSG),Contact tracing (OxBSG),"Government Response Stringency Index ((0 to 100, 100 = strictest))"
01-02-20,Italy,EURO,0,2,0,0,3,0,0,0,0.05,0,0,0,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,0,0,0,0,2,0,0,0,3,1,2,19.44
02-02-20,Italy,EURO,0,2,0,0,3,0,0,0,0.05,0,0,0,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,0,0,0,0,2,0,0,0,3,1,2,19.44
03-02-20,Italy,EURO,0,2,0,0,3,0,0,0,0.05,0,0,0,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,0,0,0,0,2,0,0,0,3,1,2,19.44
04-02-20,Italy,EURO,0,2,0,0,3,0,0,0,0.05,0,0,0,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,0,0,0,0,2,0,0,0,3,1,2,19.44
05-02-20,Italy,EURO,0,2,0,0,3,0,0,0,0.05,0,0,0,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,0,0,0,0,2,0,0,0,3,1,2,19.44
06-02-20,Italy,EURO,0,2,0,0,3,0,0,0,0.05,0,0,0,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,0,0,0,0,2,0,0,0,3,1,2,19.44
07-02-20,Italy,EURO,1,3,0,0,3,0,0,0,0.05,0,0,0,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,0,0,0,0,2,0,0,0,3,1,2,19.44
08-02-20,Italy,EURO,0,3,0,0,3,0,0,0,0.05,0,0,0,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,0,0,0,0,2,0,0,0,3,1,2,19.44
09-02-20,Italy,EURO,0,3,0,0,3,0,0,0,0.05,0,0,0,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,0,0,0,0,2,0,0,0,3,1,2,19.44
10-02-20,Italy,EURO,0,3,0,0,3,0,0,0,0.05,0,0,0,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,0,0,0,0,2,0,0,0,3,1,2,19.44
