date,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,School closures,Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Public information campaigns (OxBSG),Stay at home requirements (OxBSG),Close public transport (OxBSG),Restrictions on internal movement (OxBSG),International travel controls (OxBSG),Testing policy (OxBSG),Contact tracing (OxBSG),"Government Response Stringency Index ((0 to 100, 100 = strictest))"
28-02-20,New Zealand,WPRO,1,1,0,0,1,1,0,0,0.207,0.207,0,0,,,,,,,,13.89,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,0,0,0,0,1,0,0,0,3,1,2,13.89
29-02-20,New Zealand,WPRO,0,1,0,0,1,0,0,0,0.207,0,0,0,,,,,,,,19.44,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,0,0,0,0,2,0,0,0,3,1,2,19.44
01-03-20,New Zealand,WPRO,0,1,0,0,1,0,0,0,0.207,0,0,0,,,,,,,,19.44,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,0,0,0,0,2,0,0,0,3,1,2,19.44
02-03-20,New Zealand,WPRO,0,1,0,0,1,0,0,0,0.207,0,0,0,,,,,,,,19.44,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,0,0,0,0,2,0,0,0,3,1,2,19.44
03-03-20,New Zealand,WPRO,1,2,0,0,2,1,0,0,0.415,0.207,0,0,,,,,,,,19.44,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,0,0,0,0,2,0,0,0,3,1,2,19.44
04-03-20,New Zealand,WPRO,0,2,0,0,3,1,0,0,0.622,0.207,0,0,,,,,,,,19.44,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,0,0,0,0,2,0,0,0,3,1,2,19.44
05-03-20,New Zealand,WPRO,0,2,0,0,4,1,0,0,0.829,0.207,0,0,,,,,,,,19.44,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,0,0,0,0,2,0,0,0,3,1,2,19.44
06-03-20,New Zealand,WPRO,2,4,0,0,5,1,0,0,1.037,0.207,0,0,,,,,,,,19.44,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,0,0,0,0,2,0,0,0,3,1,2,19.44
07-03-20,New Zealand,WPRO,1,5,0,0,0,0,0,0,,,,,312,,0.065,,,,tests performed,19.44,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,0,0,0,0,2,0,0,0,3,1,2,19.44
08-03-20,New Zealand,WPRO,0,5,0,0,0,0,0,0,,,,,401,89,0.083,0.018,,,tests performed,19.44,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,0,0,0,0,2,0,0,0,3,1,2,19.44
