-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 02/01/2020 through 05/31/2020 
Location: Latitude  41.8799   Longitude 12.6424 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 268.62 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_RANGE,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
41.87991,12.64241,2020,032,    4.65,    9.93,    9.91,   13.61,    8.96,   10.90
41.87991,12.64241,2020,033,    5.04,   10.58,   10.59,   15.22,   10.18,   12.00
41.87991,12.64241,2020,034,    6.74,   10.97,   10.92,   16.63,    9.89,   12.48
41.87991,12.64241,2020,035,    8.59,    9.31,    8.98,   15.47,    6.88,   10.85
41.87991,12.64241,2020,036,    7.99,    0.15,   -0.07,   10.93,    2.94,    6.64
41.87991,12.64241,2020,037,    7.34,   -3.80,   -3.76,    9.40,    2.06,    5.04
41.87991,12.64241,2020,038,    9.08,   -3.13,   -3.13,   12.33,    3.25,    6.88
41.87991,12.64241,2020,039,    8.74,   -1.26,   -1.44,   13.07,    4.33,    7.99
41.87991,12.64241,2020,040,    7.96,    5.21,    4.80,   12.97,    5.01,    8.56
41.87991,12.64241,2020,041,    4.40,    9.76,    9.74,   13.10,    8.70,   10.81
41.87991,12.64241,2020,042,    5.43,   10.85,   10.85,   15.35,    9.91,   11.83
41.87991,12.64241,2020,043,    6.66,    8.99,    8.76,   15.23,    8.57,   11.29
41.87991,12.64241,2020,044,    7.41,    6.90,    6.72,   13.42,    6.01,    9.41
41.87991,12.64241,2020,045,    8.66,    7.32,    7.01,   15.70,    7.04,   10.99
41.87991,12.64241,2020,046,   10.85,    3.28,    3.14,   15.39,    4.54,    9.62
41.87991,12.64241,2020,047,    9.38,    4.94,    4.59,   15.50,    6.12,   10.12
41.87991,12.64241,2020,048,    7.82,    5.33,    5.09,   14.45,    6.64,    9.88
41.87991,12.64241,2020,049,    7.72,    7.36,    7.17,   14.65,    6.93,   10.36
41.87991,12.64241,2020,050,    5.89,    8.27,    8.24,   12.42,    6.54,    9.88
