date,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,School closures,Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Public information campaigns (OxBSG),Stay at home requirements (OxBSG),Close public transport (OxBSG),Restrictions on internal movement (OxBSG),International travel controls (OxBSG),Testing policy (OxBSG),Contact tracing (OxBSG),"Government Response Stringency Index ((0 to 100, 100 = strictest))"
01-02-20,South Africa,AFRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,2.78
02-02-20,South Africa,AFRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,2.78
03-02-20,South Africa,AFRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,2.78
04-02-20,South Africa,AFRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,2.78
05-02-20,South Africa,AFRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,2.78
06-02-20,South Africa,AFRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,2.78
07-02-20,South Africa,AFRO,1,1,0,0,0,0,0,0,,,,,42,,0.001,,,,units unclear,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,0,0,0,0,0,0,0,0,1,0,0,2.78
08-02-20,South Africa,AFRO,0,1,0,0,0,0,0,0,,,,,,,,,,,units unclear,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,0,0,0,0,0,0,0,0,1,0,0,2.78
09-02-20,South Africa,AFRO,1,2,0,0,0,0,0,0,,,,,,,,,,,units unclear,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,0,0,0,0,0,0,0,0,1,0,0,2.78
10-02-20,South Africa,AFRO,1,3,0,0,0,0,0,0,,,,,,,,,,,units unclear,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,0,0,0,0,0,0,0,0,1,0,0,2.78
11-02-20,South Africa,AFRO,0,3,0,0,0,0,0,0,,,,,61,,0.001,,,,units unclear,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,0,0,0,0,0,0,0,0,1,0,0,2.78
12-02-20,South Africa,AFRO,4,7,0,0,0,0,0,0,,,,,,,,,,,units unclear,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,0,0,0,0,0,0,0,0,1,0,0,2.78
13-02-20,South Africa,AFRO,0,7,0,0,0,0,0,0,,,,,67,,0.001,,,,units unclear,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,0,0,0,0,0,0,0,0,1,0,0,2.78
14-02-20,South Africa,AFRO,10,17,0,0,0,0,0,0,,,,,71,4,0.001,0,4,0,units unclear,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,0,0,0,0,0,0,0,0,1,0,0,2.78
15-02-20,South Africa,AFRO,0,17,0,0,0,0,0,0,,,,,,,,,4,0,units unclear,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,0,0,0,0,0,0,0,0,1,0,0,2.78
16-02-20,South Africa,AFRO,21,38,0,0,0,0,0,0,,,,,,,,,4,0,units unclear,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,0,0,0,0,0,0,0,0,1,0,0,2.78
17-02-20,South Africa,AFRO,0,38,0,0,0,0,0,0,,,,,,,,,4,0,units unclear,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,0,0,0,0,0,0,0,0,1,0,0,2.78
18-02-20,South Africa,AFRO,13,51,0,0,0,0,0,0,,,,,,,,,4,0,units unclear,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,0,0,0,0,0,0,0,0,1,0,0,2.78
19-02-20,South Africa,AFRO,11,62,0,0,0,0,0,0,,,,,95,,0.002,,4,0,units unclear,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,0,0,0,0,0,0,0,0,1,0,0,2.78
20-02-20,South Africa,AFRO,54,116,0,0,0,0,0,0,,,,,106,11,0.002,0,6,0,units unclear,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,0,0,0,0,0,0,0,0,1,0,0,2.78
