Date_repor,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,School closures,Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Public information campaigns (OxBSG),Stay at home requirements (OxBSG),Close public transport (OxBSG),Restrictions on internal movement (OxBSG),International travel controls (OxBSG),Contact tracing (OxBSG),Testing policy (OxBSG),"Government Response Stringency Index ((0 to 100, 100 = strictest))"
01-02-20,The United Kingdom,EURO,0,2,0,0,01-02-20,2,0,0,0,0.029,0,0,0,203,26,0.003,0,25,0,people tested,0,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,0,0,0,0,0,0,0,0,0,2,1,0
02-02-20,The United Kingdom,EURO,0,2,0,0,02-02-20,2,0,0,0,0.029,0,0,0,266,63,0.004,0.001,31,0,people tested,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,0,0,0,0,2,0,0,0,0,2,1,11.11
03-02-20,The United Kingdom,EURO,0,2,0,0,03-02-20,2,0,0,0,0.029,0,0,0,326,60,0.005,0.001,36,0.001,people tested,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,0,0,0,0,2,0,0,0,0,2,1,11.11
04-02-20,The United Kingdom,EURO,0,2,0,0,04-02-20,2,0,0,0,0.029,0,0,0,416,90,0.006,0.001,46,0.001,people tested,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,0,0,0,0,2,0,0,0,0,2,1,11.11
05-02-20,The United Kingdom,EURO,0,2,0,0,05-02-20,2,0,0,0,0.029,0,0,0,468,52,0.007,0.001,48,0.001,people tested,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,0,0,0,0,2,0,0,0,0,2,1,11.11
06-02-20,The United Kingdom,EURO,1,3,0,0,06-02-20,2,0,0,0,0.029,0,0,0,566,98,0.008,0.001,58,0.001,people tested,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,0,0,0,0,2,0,0,0,0,2,1,11.11
07-02-20,The United Kingdom,EURO,0,3,0,0,07-02-20,3,1,0,0,0.044,0.015,0,0,620,54,0.009,0.001,63,0.001,people tested,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,0,0,0,0,2,0,0,0,0,2,1,11.11
08-02-20,The United Kingdom,EURO,0,3,0,0,08-02-20,3,0,0,0,0.044,0,0,0,686,66,0.01,0.001,69,0.001,people tested,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,0,0,0,0,2,0,0,0,0,2,1,11.11
09-02-20,The United Kingdom,EURO,1,4,0,0,09-02-20,4,1,0,0,0.059,0.015,0,0,795,109,0.012,0.002,76,0.001,people tested,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,0,0,0,0,2,0,0,0,0,2,1,11.11
10-02-20,The United Kingdom,EURO,4,8,0,0,10-02-20,4,0,0,0,0.059,0,0,0,1114,319,0.016,0.005,113,0.002,people tested,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,0,0,0,0,2,0,0,0,0,2,1,11.11
11-02-20,The United Kingdom,EURO,0,8,0,0,11-02-20,8,4,0,0,0.118,0.059,0,0,1358,244,0.02,0.004,135,0.002,people tested,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,0,0,0,0,2,0,0,0,0,2,1,11.11
12-02-20,The United Kingdom,EURO,1,9,0,0,12-02-20,8,0,0,0,0.118,0,0,0,1758,400,0.026,0.006,184,0.003,people tested,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,0,0,0,0,2,0,0,0,0,2,1,11.11
13-02-20,The United Kingdom,EURO,0,9,0,0,13-02-20,9,1,0,0,0.133,0.015,0,0,2521,763,0.037,0.011,279,0.004,people tested,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,0,0,0,0,2,0,0,0,0,2,1,11.11
