date,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,School closures,Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Public information campaigns (OxBSG),Stay at home requirements (OxBSG),Close public transport (OxBSG),Restrictions on internal movement (OxBSG),International travel controls (OxBSG),Testing policy (OxBSG),Contact tracing (OxBSG),"Government Response Stringency Index ((0 to 100, 100 = strictest))"
01-02-20,United States of America,AMRO,1,8,0,0,7,1,0,0,0.021,0.003,0,0,,,,,,,,0,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,0,0,1,0
02-02-20,United States of America,AMRO,0,8,0,0,8,1,0,0,0.024,0.003,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
03-02-20,United States of America,AMRO,3,11,0,0,11,3,0,0,0.033,0.009,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
04-02-20,United States of America,AMRO,0,11,0,0,11,0,0,0,0.033,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
05-02-20,United States of America,AMRO,0,11,0,0,11,0,0,0,0.033,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
06-02-20,United States of America,AMRO,1,12,0,0,12,1,0,0,0.036,0.003,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
07-02-20,United States of America,AMRO,0,12,0,0,12,0,0,0,0.036,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
08-02-20,United States of America,AMRO,0,12,0,0,12,0,0,0,0.036,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
09-02-20,United States of America,AMRO,0,12,0,0,12,0,0,0,0.036,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
10-02-20,United States of America,AMRO,0,12,0,0,12,0,0,0,0.036,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
11-02-20,United States of America,AMRO,1,13,0,0,13,1,0,0,0.039,0.003,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
12-02-20,United States of America,AMRO,0,13,0,0,13,0,0,0,0.039,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
13-02-20,United States of America,AMRO,2,15,0,0,14,1,0,0,0.042,0.003,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
14-02-20,United States of America,AMRO,0,15,0,0,15,1,0,0,0.045,0.003,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
15-02-20,United States of America,AMRO,0,15,0,0,15,0,0,0,0.045,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
16-02-20,United States of America,AMRO,0,15,0,0,15,0,0,0,0.045,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
17-02-20,United States of America,AMRO,0,15,0,0,15,0,0,0,0.045,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
18-02-20,United States of America,AMRO,0,15,0,0,15,0,0,0,0.045,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
19-02-20,United States of America,AMRO,0,15,0,0,15,0,0,0,0.045,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
20-02-20,United States of America,AMRO,0,15,0,0,15,0,0,0,0.045,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
21-02-20,United States of America,AMRO,19,34,0,0,16,1,0,0,0.048,0.003,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
22-02-20,United States of America,AMRO,1,35,0,0,35,19,0,0,0.106,0.057,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
23-02-20,United States of America,AMRO,0,35,0,0,35,0,0,0,0.106,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
24-02-20,United States of America,AMRO,18,53,0,0,35,0,0,0,0.106,0,0,0,,,,,,,,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,0,0,0,0,0,0,0,0,2,0,1,5.56
