Date_repor,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,School closures,Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Public information campaigns (OxBSG),Stay at home requirements (OxBSG),Close public transport (OxBSG),Restrictions on internal movement (OxBSG),International travel controls (OxBSG),Testing policy (OxBSG),Contact tracing (OxBSG),"Government Response Stringency Index ((0 to 100, 100 = strictest))"
01-02-20,Viet Nam,WPRO,1,6,0,0,01-02-20,5,0,0,0,0.051,0,0,0,,,,,,,,28.7,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,3,0,0,0,2,0,0,0,3,1,0,28.7
02-02-20,Viet Nam,WPRO,1,7,0,0,02-02-20,7,2,0,0,0.072,0.021,0,0,,,,,,,,28.7,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,3,0,0,0,2,0,0,0,3,1,0,28.7
03-02-20,Viet Nam,WPRO,1,8,0,0,03-02-20,8,1,0,0,0.082,0.01,0,0,,,,,,,,28.7,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,3,0,0,0,2,0,0,0,3,1,0,28.7
04-02-20,Viet Nam,WPRO,2,10,0,0,04-02-20,9,1,0,0,0.092,0.01,0,0,,,,,,,,28.7,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,3,0,0,0,2,0,0,0,3,1,0,28.7
05-02-20,Viet Nam,WPRO,0,10,0,0,05-02-20,10,1,0,0,0.103,0.01,0,0,,,,,,,,28.7,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,3,0,0,0,2,0,0,0,3,1,0,28.7
06-02-20,Viet Nam,WPRO,2,12,0,0,06-02-20,10,0,0,0,0.103,0,0,0,,,,,,,,28.7,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,3,0,0,0,2,0,0,0,3,1,0,28.7
07-02-20,Viet Nam,WPRO,0,12,0,0,07-02-20,12,2,0,0,0.123,0.021,0,0,,,,,,,,28.7,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,3,0,0,0,2,0,0,0,3,2,1,28.7
08-02-20,Viet Nam,WPRO,1,13,0,0,08-02-20,13,1,0,0,0.134,0.01,0,0,,,,,,,,37.04,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,3,0,2,0,2,0,0,0,3,2,1,37.04
09-02-20,Viet Nam,WPRO,1,14,0,0,09-02-20,14,1,0,0,0.144,0.01,0,0,,,,,,,,37.04,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,3,0,2,0,2,0,0,0,3,2,1,37.04
10-02-20,Viet Nam,WPRO,0,14,0,0,10-02-20,14,0,0,0,0.144,0,0,0,,,,,,,,37.04,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,3,0,2,0,2,0,0,0,3,2,1,37.04
