Date_repor,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,School closures,Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Public information campaigns (OxBSG),Stay at home requirements (OxBSG),Close public transport (OxBSG),Restrictions on internal movement (OxBSG),International travel controls (OxBSG),Testing policy (OxBSG),Contact tracing (OxBSG),"Government Response Stringency Index ((0 to 100, 100 = strictest))"
01-02-20,China,WPRO,2101,11821,46,259,01-02-20,11809,2095,259,46,8.205,1.456,0.18,0.032,,,,,,,,77.31,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,3,3,2,4,2,3,2,2,0,1,2,77.31
02-02-20,China,WPRO,2590,14411,45,304,02-02-20,14399,2590,304,45,10.004,1.799,0.211,0.031,,,,,,,,77.31,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,3,3,2,4,2,3,2,2,0,1,2,77.31
03-02-20,China,WPRO,2827,17238,57,361,03-02-20,17211,2812,361,57,11.958,1.954,0.251,0.04,,,,,,,,77.31,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,3,3,2,4,2,3,2,2,0,1,2,77.31
04-02-20,China,WPRO,3233,20471,64,425,04-02-20,20448,3237,426,65,14.207,2.249,0.296,0.045,,,,,,,,77.31,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,3,3,2,4,2,3,2,2,0,1,2,77.31
05-02-20,China,WPRO,3892,24363,66,491,05-02-20,24320,3872,492,66,16.897,2.69,0.342,0.046,,,,,,,,77.31,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,3,3,2,4,2,3,2,2,0,1,2,77.31
06-02-20,China,WPRO,3697,28060,73,564,06-02-20,28047,3727,564,72,19.486,2.589,0.392,0.05,,,,,,,,77.31,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,3,3,2,4,2,3,2,2,0,1,2,77.31
07-02-20,China,WPRO,3151,31211,73,637,07-02-20,31207,3160,637,73,21.682,2.195,0.443,0.051,,,,,,,,77.31,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,3,3,2,4,2,3,2,2,0,1,2,77.31
08-02-20,China,WPRO,3387,34598,86,723,08-02-20,34625,3418,723,86,24.056,2.375,0.502,0.06,,,,,,,,77.31,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,3,3,2,4,2,3,2,2,0,1,2,77.31
09-02-20,China,WPRO,2653,37251,89,812,09-02-20,37232,2607,812,89,25.868,1.811,0.564,0.062,,,,,,,,77.31,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,3,3,2,4,2,3,2,2,0,1,2,77.31
10-02-20,China,WPRO,2985,40236,97,909,10-02-20,40206,2974,909,97,27.934,2.066,0.632,0.067,,,,,,,,75.46,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,3,3,2,4,2,3,2,2,0,1,2,75.46
