date,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,School closures,Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Public information campaigns (OxBSG),Stay at home requirements (OxBSG),Close public transport (OxBSG),Restrictions on internal movement (OxBSG),International travel controls (OxBSG),Testing policy (OxBSG),Contact tracing (OxBSG),"Government Response Stringency Index ((0 to 100, 100 = strictest))"
01-02-20,Sweden,EURO,0,1,0,0,1,1,0,0,0.099,0.099,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,0,0,0,0,0,0,0,0,0,1,2,0
02-02-20,Sweden,EURO,0,1,0,0,1,0,0,0,0.099,0,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,0,0,0,0,0,0,0,0,0,1,2,0
03-02-20,Sweden,EURO,0,1,0,0,1,0,0,0,0.099,0,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,0,0,0,0,0,0,0,0,0,1,2,0
04-02-20,Sweden,EURO,0,1,0,0,1,0,0,0,0.099,0,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,0,0,0,0,0,0,0,0,0,1,2,0
05-02-20,Sweden,EURO,0,1,0,0,1,0,0,0,0.099,0,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,0,0,0,0,0,0,0,0,0,1,2,0
06-02-20,Sweden,EURO,0,1,0,0,1,0,0,0,0.099,0,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,0,0,0,0,0,0,0,0,0,1,2,0
07-02-20,Sweden,EURO,0,1,0,0,1,0,0,0,0.099,0,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,0,0,0,0,0,0,0,0,0,1,2,0
08-02-20,Sweden,EURO,0,1,0,0,1,0,0,0,0.099,0,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,0,0,0,0,0,0,0,0,0,1,2,0
09-02-20,Sweden,EURO,0,1,0,0,1,0,0,0,0.099,0,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,0,0,0,0,0,0,0,0,0,1,2,0
10-02-20,Sweden,EURO,0,1,0,0,1,0,0,0,0.099,0,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,0,0,0,0,0,0,0,0,0,1,2,0
